Encrypt Time (ms),Inbuf Time (ms),Ratio
0.008,0.047,5.875
0.016,0.065,4.0625
0.006,0.025,4.166666666666667
0.01,0.058,5.8
0.018,0.038,2.111111111111111
0.013,0.046,3.5384615384615388
0.02,0.067,3.35
0.002,0.012,6.0
0.022,0.169,7.6818181818181825
0.021,0.103,4.904761904761904
0.014,0.121,8.642857142857142
0.024,0.163,6.791666666666667
0.021,0.126,6.0
0.015,0.082,5.466666666666667
0.019,0.094,4.947368421052632
0.018,0.076,4.222222222222222
0.035,0.145,4.142857142857142
0.017,0.078,4.588235294117647
0.006,0.041,6.833333333333333
0.018,0.058,3.2222222222222228
0.004,0.037,9.25
0.011,0.04,3.6363636363636367
0.059,0.382,6.474576271186441
0.064,0.177,2.765625
0.015,0.079,5.266666666666667
0.033,0.272,8.242424242424242
0.01,0.046,4.6
0.016,0.078,4.875
0.006,0.03,5.0
0.003,0.019,6.333333333333333
0.014,0.07,5.0
0.03,0.147,4.8999999999999995
0.016,0.106,6.625
0.004,0.021,5.25
0.035,0.18,5.142857142857142
0.012,0.1,8.333333333333334
0.046,0.168,3.6521739130434785
0.02,0.126,6.3
0.033,0.116,3.515151515151515
0.029,0.079,2.7241379310344827
0.002,0.01,5.0
0.015,0.08,5.333333333333334
0.048,0.173,3.6041666666666665
0.009,0.042,4.666666666666667
0.025,0.136,5.44
0.011,0.059,5.363636363636363
0.015,0.103,6.866666666666666
0.065,0.295,4.538461538461538
0.02,0.039,1.95
0.015,0.059,3.933333333333333
0.017,0.043,2.529411764705882
0.002,0.008,4.0
0.015,0.055,3.666666666666667
0.017,0.088,5.1764705882352935
0.004,0.021,5.25
0.014,0.109,7.785714285714286
0.01,0.051,5.1
0.016,0.082,5.125
0.006,0.028,4.666666666666667
0.017,0.07,4.11764705882353
0.023,0.184,8.0
0.028,0.118,4.214285714285714
0.018,0.079,4.388888888888889
0.025,0.124,4.96
0.011,0.046,4.181818181818182
0.015,0.055,3.666666666666667
0.023,0.116,5.043478260869565
0.024,0.219,9.125
0.016,0.051,3.1874999999999996
0.019,0.062,3.263157894736842
0.024,0.117,4.875
0.023,0.162,7.043478260869565
0.006,0.029,4.833333333333333
0.017,0.056,3.2941176470588234
0.017,0.073,4.294117647058823
0.016,0.05,3.125
0.02,0.073,3.65
0.019,0.174,9.157894736842104
0.021,0.111,5.285714285714286
0.006,0.028,4.666666666666667
0.016,0.068,4.25
0.021,0.097,4.619047619047619
0.018,0.067,3.7222222222222228
0.016,0.053,3.3125
0.05,0.149,2.9799999999999995
0.071,0.272,3.8309859154929584
0.009,0.088,9.777777777777779
0.016,0.053,3.3125
0.026,0.111,4.269230769230769
0.018,0.141,7.833333333333333
0.02,0.089,4.449999999999999
0.021,0.082,3.9047619047619047
0.022,0.093,4.2272727272727275
0.014,0.05,3.5714285714285716
0.003,0.01,3.3333333333333335
0.017,0.054,3.176470588235294
0.019,0.06,3.1578947368421053
0.017,0.05,2.941176470588235
0.021,0.054,2.571428571428571
0.025,0.099,3.96
0.018,0.064,3.555555555555556
0.003,0.016,5.333333333333333
0.021,0.079,3.761904761904762
0.017,0.09,5.294117647058823
0.019,0.061,3.210526315789474
0.021,0.08,3.8095238095238093
0.016,0.095,5.9375
0.021,0.131,6.238095238095238
0.005,0.026,5.199999999999999
0.035,0.079,2.257142857142857
0.018,0.098,5.444444444444445
0.017,0.072,4.235294117647058
0.016,0.093,5.8125
0.024,0.094,3.9166666666666665
0.027,0.182,6.7407407407407405
0.018,0.078,4.333333333333334
0.004,0.02,5.0
0.02,0.072,3.5999999999999996
0.028,0.137,4.892857142857143
0.016,0.057,3.5625
0.023,0.087,3.782608695652174
0.032,0.151,4.71875
0.035,0.169,4.828571428571428
0.005,0.047,9.4
0.018,0.069,3.833333333333334
0.035,0.197,5.628571428571428
0.016,0.055,3.4375
0.052,0.315,6.057692307692308
0.029,0.26,8.96551724137931
0.016,0.07,4.375
0.025,0.111,4.4399999999999995
0.009,0.074,8.222222222222223
0.011,0.067,6.090909090909092
0.015,0.134,8.933333333333334
0.018,0.169,9.388888888888891
0.01,0.051,5.1
0.013,0.068,5.230769230769232
0.006,0.031,5.166666666666667
0.004,0.024,6.0
0.02,0.105,5.25
0.025,0.123,4.92
0.005,0.028,5.6
0.028,0.164,5.857142857142858
0.011,0.054,4.909090909090909
0.031,0.13,4.193548387096774
0.01,0.085,8.5
0.016,0.129,8.0625
0.011,0.049,4.454545454545455
0.01,0.054,5.3999999999999995
0.055,0.127,2.309090909090909
0.006,0.033,5.5
0.026,0.133,5.115384615384616
0.035,0.103,2.9428571428571426
0.011,0.07,6.363636363636364
0.016,0.091,5.6875
0.012,0.074,6.166666666666666
0.007,0.034,4.857142857142858
0.035,0.201,5.742857142857143
0.019,0.086,4.526315789473684
0.024,0.041,1.7083333333333333
0.009,0.036,4.0
0.003,0.011,3.6666666666666665
0.002,0.01,5.0
0.002,0.02,10.0
0.017,0.052,3.0588235294117645
0.033,0.129,3.909090909090909
0.016,0.088,5.5
0.016,0.098,6.125
0.012,0.075,6.25
0.004,0.022,5.5
0.003,0.019,6.333333333333333
0.002,0.009,4.5
0.002,0.012,6.0
0.002,0.01,5.0
0.002,0.01,5.0
0.002,0.011,5.5
0.022,0.166,7.545454545454546
0.008,0.045,5.625
0.014,0.047,3.357142857142857
0.004,0.012,3.0
0.002,0.011,5.5
0.002,0.008,4.0
0.001,0.008,8.0
0.022,0.06,2.7272727272727275
0.002,0.009,4.5
0.002,0.008,4.0
0.015,0.074,4.933333333333334
0.049,0.089,1.8163265306122447
0.019,0.068,3.578947368421053
0.002,0.009,4.5
0.006,0.033,5.5
0.002,0.012,6.0
0.001,0.008,8.0
0.002,0.01,5.0
0.002,0.009,4.5
0.022,0.092,4.181818181818182
0.011,0.051,4.636363636363637
0.015,0.051,3.4
0.016,0.068,4.25
0.001,0.009,9.0
0.079,0.185,2.3417721518987342
0.017,0.074,4.352941176470588
0.02,0.074,3.6999999999999997
0.002,0.014,7.0
0.025,0.159,6.359999999999999
0.022,0.081,3.681818181818182
0.017,0.066,3.8823529411764706
0.007,0.024,3.4285714285714284
0.002,0.007,3.5
0.019,0.073,3.8421052631578947
0.024,0.079,3.2916666666666665
0.003,0.013,4.333333333333333
0.026,0.137,5.26923076923077
0.015,0.071,4.733333333333333
0.003,0.014,4.666666666666667
0.02,0.103,5.1499999999999995
0.019,0.067,3.5263157894736845
0.03,0.142,4.733333333333333
0.005,0.028,5.6
0.017,0.071,4.1764705882352935
0.017,0.075,4.411764705882352
0.002,0.01,5.0
0.034,0.078,2.2941176470588234
0.052,0.163,3.134615384615385
0.005,0.025,5.0
0.023,0.075,3.260869565217391
0.023,0.085,3.695652173913044
0.015,0.066,4.4
0.003,0.014,4.666666666666667
0.002,0.008,4.0
0.015,0.082,5.466666666666667
0.021,0.083,3.9523809523809526
0.016,0.083,5.1875
0.001,0.007,7.0
0.001,0.007,7.0
0.015,0.078,5.2
0.014,0.061,4.357142857142857
0.017,0.067,3.941176470588235
0.002,0.011,5.5
0.017,0.08,4.705882352941177
0.03,0.086,2.8666666666666667
0.104,0.085,0.8173076923076924
0.013,0.076,5.846153846153847
0.019,0.086,4.526315789473684
0.006,0.026,4.333333333333333
0.007,0.061,8.714285714285714
0.002,0.014,7.0
