Encrypt Time (ms),Inbuf Time (ms),Ratio
0.015,0.061,4.066666666666666
0.017,0.067,3.941176470588235
0.09,0.358,3.977777777777778
0.019,0.091,4.7894736842105265
0.014,0.065,4.642857142857143
0.004,0.017,4.25
0.003,0.012,4.0
0.012,0.067,5.583333333333334
0.012,0.054,4.5
0.018,0.068,3.777777777777778
0.007,0.027,3.857142857142857
0.033,0.09,2.727272727272727
0.014,0.047,3.357142857142857
0.017,0.064,3.764705882352941
0.011,0.062,5.636363636363637
0.004,0.016,4.0
0.025,0.082,3.28
0.004,0.02,5.0
0.018,0.07,3.8888888888888897
0.003,0.018,5.999999999999999
0.016,0.058,3.625
0.003,0.014,4.666666666666667
0.002,0.01,5.0
0.006,0.05,8.333333333333334
0.002,0.008,4.0
0.019,0.093,4.894736842105263
0.016,0.045,2.8125
0.01,0.064,6.4
0.013,0.059,4.538461538461538
0.007,0.038,5.428571428571428
0.016,0.034,2.125
0.01,0.059,5.8999999999999995
0.002,0.009,4.5
0.02,0.099,4.95
0.026,0.072,2.769230769230769
0.007,0.04,5.714285714285714
0.004,0.031,7.75
0.092,0.386,4.195652173913044
0.017,0.102,5.999999999999999
0.018,0.063,3.5000000000000004
0.022,0.12,5.454545454545455
0.015,0.069,4.6000000000000005
0.011,0.042,3.818181818181819
0.012,0.049,4.083333333333333
0.016,0.08,5.0
0.017,0.06,3.529411764705882
0.012,0.059,4.916666666666666
0.011,0.057,5.1818181818181825
0.022,0.073,3.3181818181818183
0.011,0.043,3.909090909090909
0.011,0.068,6.1818181818181825
0.006,0.024,4.0
0.021,0.084,4.0
0.023,0.113,4.91304347826087
0.022,0.104,4.7272727272727275
0.023,0.095,4.130434782608695
0.012,0.045,3.75
0.012,0.043,3.583333333333333
0.016,0.079,4.9375
0.019,0.097,5.105263157894737
0.02,0.086,4.3
0.045,0.154,3.4222222222222225
0.024,0.101,4.208333333333334
0.015,0.05,3.3333333333333335
0.036,0.131,3.6388888888888893
0.014,0.13,9.285714285714286
0.039,0.121,3.1025641025641026
0.039,0.096,2.4615384615384617
0.013,0.06,4.615384615384616
0.011,0.044,4.0
0.01,0.044,4.3999999999999995
0.013,0.09,6.923076923076923
0.02,0.108,5.3999999999999995
0.012,0.045,3.75
0.017,0.062,3.6470588235294117
0.011,0.041,3.7272727272727275
0.018,0.063,3.5000000000000004
0.02,0.106,5.3
0.019,0.069,3.6315789473684212
0.015,0.075,5.0
0.014,0.072,5.142857142857142
0.015,0.055,3.666666666666667
0.013,0.072,5.538461538461538
0.021,0.111,5.285714285714286
0.019,0.073,3.8421052631578947
0.02,0.145,7.249999999999999
0.014,0.059,4.214285714285714
0.009,0.053,5.888888888888889
0.016,0.062,3.875
0.016,0.078,4.875
0.025,0.104,4.159999999999999
0.024,0.102,4.25
0.011,0.052,4.7272727272727275
0.03,0.183,6.1000000000000005
0.081,0.204,2.518518518518518
0.013,0.065,5.0
0.01,0.038,3.8
0.011,0.044,4.0
0.023,0.11,4.782608695652174
0.044,0.223,5.068181818181818
0.03,0.169,5.633333333333334
0.02,0.07,3.5000000000000004
0.015,0.06,4.0
0.003,0.012,4.0
0.035,0.283,8.085714285714284
0.026,0.168,6.461538461538463
0.021,0.057,2.7142857142857144
0.003,0.013,4.333333333333333
0.034,0.113,3.3235294117647056
0.009,0.048,5.333333333333334
0.08,0.248,3.1
0.03,0.063,2.1
0.006,0.039,6.5
0.004,0.016,4.0
0.009,0.04,4.444444444444445
0.004,0.015,3.75
0.001,0.009,9.0
0.001,0.009,9.0
0.001,0.008,8.0
0.032,0.045,1.40625
0.023,0.165,7.173913043478262
0.007,0.037,5.285714285714286
0.011,0.049,4.454545454545455
0.022,0.127,5.772727272727273
0.01,0.046,4.6
0.045,0.142,3.1555555555555554
0.027,0.141,5.222222222222221
0.017,0.104,6.117647058823529
0.016,0.058,3.625
0.01,0.059,5.8999999999999995
0.017,0.031,1.8235294117647058
0.004,0.024,6.0
0.011,0.024,2.181818181818182
0.002,0.014,7.0
0.003,0.017,5.666666666666667
0.003,0.014,4.666666666666667
0.044,0.084,1.9090909090909094
0.007,0.04,5.714285714285714
0.006,0.036,5.999999999999999
0.01,0.048,4.8
0.009,0.048,5.333333333333334
0.007,0.05,7.142857142857143
0.005,0.022,4.3999999999999995
0.007,0.046,6.571428571428571
0.004,0.016,4.0
0.003,0.016,5.333333333333333
0.026,0.021,0.8076923076923078
0.01,0.026,2.5999999999999996
0.003,0.014,4.666666666666667
0.014,0.057,4.071428571428571
0.018,0.118,6.555555555555555
0.011,0.054,4.909090909090909
0.005,0.03,6.0
0.017,0.096,5.647058823529411
0.01,0.046,4.6
0.023,0.129,5.608695652173913
0.009,0.023,2.555555555555556
0.016,0.052,3.25
0.006,0.029,4.833333333333333
0.004,0.018,4.5
0.002,0.014,7.0
0.013,0.078,6.0
0.016,0.073,4.5625
0.003,0.016,5.333333333333333
0.001,0.008,8.0
0.018,0.057,3.166666666666667
0.011,0.052,4.7272727272727275
0.016,0.06,3.75
0.023,0.068,2.956521739130435
0.004,0.01,2.5
0.002,0.007,3.5
0.002,0.007,3.5
0.004,0.014,3.5
0.016,0.069,4.3125
0.004,0.028,7.0
0.008,0.028,3.5
0.016,0.058,3.625
0.018,0.071,3.944444444444444
0.002,0.008,4.0
0.002,0.02,10.0
0.002,0.012,6.0
0.009,0.061,6.777777777777779
0.002,0.011,5.5
0.01,0.055,5.5
0.003,0.025,8.333333333333334
0.005,0.026,5.199999999999999
0.004,0.021,5.25
0.004,0.018,4.5
0.005,0.019,3.8
0.023,0.04,1.7391304347826089
0.03,0.052,1.7333333333333334
0.017,0.087,5.117647058823529
0.009,0.044,4.888888888888889
0.006,0.043,7.166666666666666
0.008,0.049,6.125
0.006,0.029,4.833333333333333
0.019,0.041,2.1578947368421053
0.008,0.038,4.75
0.017,0.054,3.176470588235294
0.016,0.051,3.1874999999999996
0.016,0.055,3.4375
0.019,0.057,3.0
0.004,0.015,3.75
0.002,0.018,9.0
0.008,0.046,5.75
0.013,0.024,1.8461538461538463
0.003,0.013,4.333333333333333
0.004,0.024,6.0
0.021,0.057,2.7142857142857144
0.015,0.052,3.466666666666667
0.011,0.063,5.7272727272727275
0.002,0.01,5.0
0.016,0.058,3.625
0.005,0.017,3.4000000000000004
0.002,0.009,4.5
0.001,0.009,9.0
0.012,0.059,4.916666666666666
0.004,0.037,9.25
0.008,0.054,6.75
0.013,0.053,4.076923076923077
0.014,0.079,5.642857142857143
0.009,0.059,6.555555555555555
0.006,0.034,5.666666666666667
0.01,0.039,3.9
0.013,0.074,5.6923076923076925
0.003,0.014,4.666666666666667
0.016,0.049,3.0625
0.02,0.071,3.55
0.002,0.008,4.0
0.006,0.038,6.333333333333333
0.01,0.023,2.3
0.002,0.011,5.5
0.011,0.073,6.636363636363637
0.01,0.045,4.5
0.015,0.074,4.933333333333334
0.004,0.017,4.25
0.002,0.01,5.0
0.002,0.008,4.0
0.001,0.008,8.0
0.002,0.009,4.5
0.002,0.009,4.5
0.016,0.051,3.1874999999999996
0.017,0.047,2.764705882352941
0.003,0.015,5.0
0.026,0.076,2.9230769230769234
0.01,0.033,3.3000000000000003
0.003,0.015,5.0
0.003,0.01,3.3333333333333335
0.015,0.045,3.0
0.016,0.047,2.9375
0.003,0.013,4.333333333333333
0.01,0.035,3.5000000000000004
0.002,0.013,6.5
0.013,0.086,6.615384615384615
0.003,0.013,4.333333333333333
0.001,0.008,8.0
0.022,0.068,3.0909090909090913
0.002,0.01,5.0
0.012,0.041,3.4166666666666665
0.029,0.204,7.034482758620689
0.019,0.112,5.894736842105264
0.01,0.051,5.1
0.013,0.111,8.538461538461538
0.025,0.066,2.64
0.015,0.072,4.8
0.015,0.065,4.333333333333334
0.011,0.051,4.636363636363637
0.01,0.048,4.8
0.003,0.014,4.666666666666667
0.021,0.062,2.952380952380952
0.005,0.023,4.6
0.013,0.048,3.6923076923076925
0.012,0.029,2.4166666666666665
0.011,0.073,6.636363636363637
0.015,0.034,2.266666666666667
0.006,0.038,6.333333333333333
0.003,0.015,5.0
0.006,0.051,8.5
0.006,0.031,5.166666666666667
0.01,0.06,6.0
0.019,0.062,3.263157894736842
0.004,0.016,4.0
0.002,0.009,4.5
0.002,0.01,5.0
0.015,0.065,4.333333333333334
0.003,0.014,4.666666666666667
0.017,0.064,3.764705882352941
0.002,0.01,5.0
0.017,0.116,6.823529411764706
0.043,0.1,2.3255813953488373
0.019,0.064,3.368421052631579
0.02,0.073,3.65
0.001,0.009,9.0
0.021,0.072,3.428571428571428
0.002,0.009,4.5
0.015,0.048,3.2
0.009,0.055,6.111111111111112
0.011,0.08,7.272727272727273
0.02,0.079,3.95
0.002,0.01,5.0
0.018,0.071,3.944444444444444
0.015,0.054,3.6
0.017,0.058,3.411764705882353
0.011,0.053,4.818181818181818
0.01,0.048,4.8
0.023,0.069,3.0000000000000004
0.004,0.036,9.0
0.013,0.048,3.6923076923076925
0.007,0.031,4.428571428571429
0.004,0.016,4.0
0.018,0.09,5.0
0.017,0.068,4.0
0.003,0.014,4.666666666666667
0.001,0.008,8.0
0.009,0.055,6.111111111111112
0.012,0.049,4.083333333333333
0.007,0.048,6.857142857142857
0.002,0.013,6.5
0.012,0.05,4.166666666666667
0.003,0.015,5.0
0.009,0.05,5.555555555555556
0.02,0.066,3.3000000000000003
0.004,0.016,4.0
0.015,0.055,3.666666666666667
0.003,0.015,5.0
0.014,0.082,5.857142857142858
0.003,0.013,4.333333333333333
0.016,0.068,4.25
0.001,0.01,10.0
0.013,0.059,4.538461538461538
0.007,0.053,7.571428571428571
0.023,0.05,2.173913043478261
0.017,0.067,3.941176470588235
0.004,0.015,3.75
0.017,0.067,3.941176470588235
0.003,0.014,4.666666666666667
0.002,0.008,4.0
0.019,0.086,4.526315789473684
0.005,0.022,4.3999999999999995
0.003,0.013,4.333333333333333
0.009,0.035,3.8888888888888897
0.026,0.072,2.769230769230769
0.008,0.045,5.625
0.019,0.079,4.157894736842105
0.002,0.012,6.0
0.014,0.064,4.571428571428571
0.019,0.075,3.9473684210526314
0.014,0.065,4.642857142857143
0.015,0.094,6.266666666666667
0.009,0.064,7.111111111111112
0.009,0.026,2.888888888888889
0.027,0.083,3.0740740740740744
0.004,0.019,4.75
0.016,0.057,3.5625
0.012,0.049,4.083333333333333
0.004,0.014,3.5
0.015,0.098,6.533333333333334
0.012,0.06,5.0
0.003,0.016,5.333333333333333
0.011,0.05,4.545454545454546
0.003,0.015,5.0
0.012,0.038,3.1666666666666665
0.021,0.065,3.0952380952380953
0.02,0.06,3.0
0.015,0.05,3.3333333333333335
0.008,0.012,1.5
0.017,0.07,4.11764705882353
0.001,0.009,9.0
0.009,0.021,2.3333333333333335
0.004,0.018,4.5
0.025,0.095,3.8
0.014,0.083,5.928571428571429
0.02,0.077,3.85
0.016,0.053,3.3125
0.003,0.013,4.333333333333333
0.013,0.056,4.307692307692308
0.02,0.083,4.15
0.003,0.016,5.333333333333333
0.01,0.053,5.3
0.015,0.037,2.466666666666667
0.005,0.025,5.0
0.016,0.099,6.1875
0.019,0.075,3.9473684210526314
0.002,0.012,6.0
0.022,0.064,2.909090909090909
0.055,0.103,1.8727272727272726
0.009,0.074,8.222222222222223
0.017,0.076,4.470588235294117
0.002,0.008,4.0
0.02,0.074,3.6999999999999997
0.018,0.065,3.6111111111111116
0.014,0.03,2.142857142857143
0.011,0.064,5.818181818181818
0.012,0.046,3.833333333333333
0.019,0.063,3.3157894736842106
0.004,0.019,4.75
0.016,0.062,3.875
0.012,0.087,7.249999999999999
0.008,0.041,5.125
0.022,0.053,2.409090909090909
0.009,0.059,6.555555555555555
0.004,0.024,6.0
0.009,0.058,6.4444444444444455
0.009,0.045,5.0
0.01,0.039,3.9
0.024,0.084,3.5
0.004,0.018,4.5
