Encrypt Time (ms),Inbuf Time (ms),Ratio
0.055,0.215,3.909090909090909
0.026000000000000002,0.152,5.846153846153846
0.032,0.134,4.1875
0.038000000000000006,0.083,2.1842105263157894
0.011,0.055,5.0
0.025,0.24,9.6
0.03,0.15,5.0
0.043,0.102,2.372093023255814
0.027,0.083,3.0740740740740744
0.051000000000000004,0.161,3.156862745098039
0.02,0.108,5.3999999999999995
0.047,0.202,4.297872340425532
0.024,0.111,4.625
0.028,0.118,4.214285714285714
0.03,0.13,4.333333333333334
0.006,0.031,5.166666666666667
0.006,0.032,5.333333333333333
0.006,0.029,4.833333333333333
0.019,0.076,4.0
0.005,0.029,5.8
0.003,0.017,5.666666666666667
0.038,0.122,3.210526315789474
0.005,0.035,7.000000000000001
0.023,0.076,3.3043478260869565
0.043,0.17,3.953488372093024
0.053,0.094,1.7735849056603774
0.006,0.028,4.666666666666667
0.015,0.105,7.0
0.031,0.067,2.1612903225806455
0.014,0.095,6.785714285714286
0.003,0.015,5.0
0.025,0.152,6.079999999999999
0.011,0.095,8.636363636363637
0.019,0.128,6.736842105263158
0.009,0.06,6.666666666666667
0.071,0.257,3.6197183098591554
0.040999999999999995,0.195,4.75609756097561
0.021,0.117,5.571428571428571
0.022,0.141,6.409090909090909
0.039,0.319,8.179487179487179
0.031,0.149,4.806451612903226
0.022,0.107,4.863636363636364
0.018,0.112,6.222222222222223
0.077,0.116,1.5064935064935066
0.02,0.091,4.55
0.047,0.155,3.2978723404255317
0.040999999999999995,0.105,2.5609756097560976
0.025,0.075,2.9999999999999996
0.074,0.132,1.783783783783784
0.054,0.354,6.555555555555555
0.031,0.107,3.4516129032258065
0.047,0.217,4.617021276595745
0.047,0.117,2.4893617021276597
0.013,0.081,6.230769230769231
0.02,0.12,6.0
0.033,0.145,4.393939393939394
0.02,0.125,6.25
0.022,0.135,6.136363636363637
0.021,0.157,7.476190476190475
0.041,0.118,2.8780487804878048
0.041,0.1,2.4390243902439024
0.046,0.115,2.5
0.025,0.096,3.84
0.019,0.099,5.210526315789474
0.03,0.117,3.9000000000000004
0.028,0.211,7.535714285714286
0.074,0.148,2.0
0.056999999999999995,0.144,2.526315789473684
0.031,0.121,3.903225806451613
0.021,0.127,6.0476190476190474
0.027999999999999997,0.143,5.107142857142858
0.039,0.111,2.8461538461538463
0.026,0.08,3.076923076923077
0.043,0.131,3.0465116279069773
0.019,0.138,7.2631578947368425
0.022,0.084,3.818181818181819
0.031,0.146,4.709677419354838
0.037,0.256,6.918918918918919
0.02,0.177,8.85
0.044,0.112,2.545454545454546
0.024,0.104,4.333333333333333
0.033,0.106,3.212121212121212
0.015,0.126,8.4
0.02,0.109,5.45
0.033,0.084,2.5454545454545454
0.040999999999999995,0.123,3.0000000000000004
0.03,0.095,3.166666666666667
0.031,0.119,3.8387096774193545
0.041,0.129,3.1463414634146343
0.036,0.094,2.611111111111111
0.069,0.149,2.1594202898550723
0.049,0.133,2.7142857142857144
0.018,0.121,6.722222222222222
0.045,0.117,2.6
0.075,0.234,3.12
0.034999999999999996,0.156,4.457142857142857
0.05,0.212,4.239999999999999
0.007,0.038,5.428571428571428
0.017,0.086,5.058823529411764
0.008,0.039,4.875
0.079,0.322,4.075949367088608
0.035,0.206,5.885714285714285
0.027000000000000003,0.113,4.185185185185185
0.024,0.148,6.166666666666666
0.004,0.022,5.5
0.101,0.181,1.792079207920792
0.033,0.097,2.9393939393939394
0.012,0.074,6.166666666666666
0.038,0.171,4.500000000000001
0.024,0.113,4.708333333333333
0.009,0.042,4.666666666666667
0.028,0.081,2.892857142857143
0.015,0.048,3.2
0.003,0.028,9.333333333333334
0.003,0.016,5.333333333333333
0.003,0.022,7.333333333333333
0.003,0.016,5.333333333333333
0.004,0.02,5.0
0.03,0.116,3.866666666666667
0.03,0.127,4.233333333333333
0.008,0.04,5.0
0.05,0.197,3.94
0.021,0.176,8.38095238095238
0.038,0.11,2.8947368421052633
0.034,0.121,3.5588235294117645
0.022,0.043,1.9545454545454546
0.032,0.065,2.03125
0.016,0.063,3.9375
0.023,0.139,6.043478260869566
0.008,0.039,4.875
0.012,0.098,8.166666666666666
0.007,0.061,8.714285714285714
0.006,0.033,5.5
0.006,0.034,5.666666666666667
0.017,0.145,8.52941176470588
0.009,0.063,7.000000000000001
0.008,0.043,5.374999999999999
0.065,0.113,1.7384615384615385
0.008,0.044,5.5
0.003,0.017,5.666666666666667
0.015,0.069,4.6000000000000005
0.004,0.019,4.75
0.027,0.127,4.703703703703704
0.02,0.182,9.1
0.011,0.055,5.0
0.045,0.12,2.6666666666666665
0.024,0.16,6.666666666666667
0.023,0.083,3.608695652173913
0.014,0.053,3.7857142857142856
0.015,0.036,2.4
0.008,0.054,6.75
0.026000000000000002,0.127,4.884615384615384
0.015,0.08,5.333333333333334
0.034,0.099,2.911764705882353
0.024,0.067,2.791666666666667
0.016,0.061,3.8125
0.008,0.028,3.5
0.033,0.115,3.484848484848485
0.034,0.112,3.2941176470588234
0.005,0.027,5.3999999999999995
0.039,0.11,2.8205128205128207
0.028999999999999998,0.1,3.4482758620689657
0.024,0.049,2.0416666666666665
0.027,0.089,3.2962962962962963
0.006,0.027,4.5
0.008,0.05,6.25
0.003,0.016,5.333333333333333
0.022,0.05,2.272727272727273
0.015,0.044,2.933333333333333
0.037,0.107,2.891891891891892
0.032,0.096,3.0
0.005,0.028,5.6
0.003,0.015,5.0
0.007,0.046,6.571428571428571
0.004,0.016,4.0
0.002,0.013,6.5
0.002,0.012,6.0
0.003,0.014,4.666666666666667
0.020999999999999998,0.106,5.047619047619048
0.038,0.099,2.605263157894737
0.045,0.162,3.6
0.013,0.07,5.384615384615385
0.017,0.056,3.2941176470588234
0.005,0.029,5.8
0.005,0.028,5.6
0.027000000000000003,0.149,5.518518518518517
0.015,0.099,6.6000000000000005
0.008,0.065,8.125
0.041,0.101,2.4634146341463414
0.061,0.247,4.049180327868853
0.037,0.152,4.108108108108108
0.005,0.022,4.3999999999999995
0.007,0.044,6.285714285714286
0.01,0.057,5.7
0.004,0.02,5.0
0.031,0.069,2.2258064516129035
0.011,0.055,5.0
0.024,0.059,2.458333333333333
0.01,0.055,5.5
0.048,0.11,2.2916666666666665
0.01,0.094,9.4
0.031,0.166,5.35483870967742
0.019,0.142,7.473684210526315
0.011,0.068,6.1818181818181825
0.005,0.022,4.3999999999999995
0.041999999999999996,0.103,2.4523809523809526
0.005,0.026,5.199999999999999
0.016,0.094,5.875
0.023,0.082,3.565217391304348
0.022,0.103,4.681818181818182
0.007,0.041,5.857142857142858
0.025,0.144,5.759999999999999
0.012,0.058,4.833333333333333
0.024,0.101,4.208333333333334
0.023,0.077,3.347826086956522
0.015,0.092,6.133333333333334
0.049,0.112,2.2857142857142856
0.015,0.071,4.733333333333333
0.005,0.037,7.3999999999999995
0.028999999999999998,0.145,5.0
0.007,0.065,9.285714285714286
0.004,0.019,4.75
0.015,0.099,6.6000000000000005
0.07300000000000001,0.092,1.2602739726027394
0.01,0.051,5.1
0.022,0.17,7.727272727272728
0.009,0.056,6.222222222222223
0.026,0.055,2.1153846153846154
0.012,0.071,5.916666666666666
0.022,0.112,5.090909090909092
0.019,0.069,3.6315789473684212
0.017,0.083,4.88235294117647
0.007,0.038,5.428571428571428
0.01,0.043,4.3
0.04,0.11,2.75
0.008,0.044,5.5
0.013,0.075,5.769230769230769
0.045,0.11,2.4444444444444446
0.015,0.117,7.800000000000001
0.027999999999999997,0.081,2.8928571428571432
0.004,0.02,5.0
0.003,0.016,5.333333333333333
0.008,0.069,8.625
0.02,0.066,3.3000000000000003
0.012,0.098,8.166666666666666
0.014,0.084,6.0
0.007,0.065,9.285714285714286
0.02,0.074,3.6999999999999997
0.005,0.02,4.0
0.013,0.089,6.846153846153846
0.015,0.126,8.4
0.008,0.072,9.0
0.018,0.074,4.111111111111112
0.013,0.089,6.846153846153846
0.005,0.048,9.6
0.011,0.083,7.545454545454546
0.017,0.092,5.411764705882352
0.021,0.098,4.666666666666667
0.006,0.042,7.0
0.002,0.012,6.0
0.016,0.075,4.6875
0.02,0.1,5.0
0.02,0.046,2.3
0.021,0.092,4.3809523809523805
0.029,0.095,3.275862068965517
0.017,0.125,7.352941176470588
0.013,0.062,4.769230769230769
0.069,0.204,2.956521739130434
0.011,0.052,4.7272727272727275
0.006,0.054,9.0
0.012,0.06,5.0
0.017,0.137,8.058823529411764
0.015,0.09,6.0
0.020999999999999998,0.095,4.523809523809525
0.004,0.023,5.75
0.003,0.014,4.666666666666667
0.034,0.082,2.411764705882353
0.006,0.028,4.666666666666667
0.007,0.048,6.857142857142857
0.03,0.076,2.533333333333333
0.01,0.034,3.4000000000000004
0.003,0.017,5.666666666666667
0.027,0.145,5.37037037037037
0.027,0.062,2.2962962962962963
0.021,0.196,9.333333333333334
0.027,0.111,4.111111111111112
0.021,0.092,4.3809523809523805
0.025,0.124,4.96
0.017,0.101,5.9411764705882355
0.005,0.025,5.0
0.003,0.015,5.0
0.003,0.014,4.666666666666667
0.007,0.037,5.285714285714286
0.003,0.013,4.333333333333333
0.033,0.064,1.9393939393939394
0.026,0.224,8.615384615384617
0.011,0.074,6.7272727272727275
0.019,0.12,6.315789473684211
0.031,0.151,4.870967741935484
0.01,0.033,3.3000000000000003
0.021,0.109,5.19047619047619
0.047,0.172,3.659574468085106
0.013,0.1,7.692307692307693
0.037,0.085,2.2972972972972974
0.011,0.055,5.0
0.003,0.018,5.999999999999999
0.015,0.089,5.933333333333334
0.069,0.183,2.652173913043478
0.084,0.324,3.857142857142857
0.02,0.176,8.799999999999999
0.019,0.139,7.3157894736842115
0.017,0.087,5.117647058823529
0.024,0.21,8.75
0.033,0.101,3.0606060606060606
0.03,0.082,2.7333333333333334
0.03,0.109,3.6333333333333333
0.025,0.086,3.4399999999999995
0.005,0.034,6.800000000000001
0.037,0.085,2.2972972972972974
0.018,0.094,5.222222222222222
0.01,0.047,4.7
0.038,0.074,1.9473684210526316
0.025,0.246,9.84
0.016,0.122,7.625
0.005,0.02,4.0
0.032,0.139,4.34375
0.069,0.165,2.391304347826087
0.016,0.077,4.8125
0.006,0.029,4.833333333333333
0.035,0.118,3.371428571428571
0.007,0.047,6.714285714285714
0.011,0.064,5.818181818181818
0.018,0.1,5.555555555555556
0.009,0.048,5.333333333333334
0.003,0.016,5.333333333333333
0.02,0.086,4.3
0.017,0.098,5.764705882352941
0.013,0.1,7.692307692307693
0.009,0.044,4.888888888888889
0.009,0.054,6.0
0.076,0.197,2.592105263157895
0.015,0.068,4.533333333333334
0.011,0.017,1.5454545454545456
0.021,0.18,8.571428571428571
0.058,0.224,3.862068965517241
0.03,0.081,2.7
0.003,0.017,5.666666666666667
0.035,0.109,3.114285714285714
0.003,0.015,5.0
0.008,0.046,5.75
0.068,0.138,2.0294117647058822
0.006,0.054,9.0
0.005,0.021,4.2
0.031,0.091,2.935483870967742
0.077,0.21,2.727272727272727
0.019,0.071,3.7368421052631575
0.013,0.088,6.769230769230769
0.04,0.126,3.15
0.038,0.263,6.921052631578948
0.022,0.12,5.454545454545455
0.007,0.037,5.285714285714286
0.004,0.019,4.75
0.02,0.099,4.95
0.028999999999999998,0.065,2.241379310344828
0.031,0.104,3.354838709677419
0.027,0.078,2.888888888888889
0.023,0.121,5.260869565217392
0.041999999999999996,0.085,2.023809523809524
0.022,0.1,4.545454545454546
0.018,0.068,3.777777777777778
0.008,0.042,5.25
0.015,0.095,6.333333333333334
0.013,0.104,8.0
0.007,0.065,9.285714285714286
0.018,0.138,7.666666666666668
0.004,0.018,4.5
0.015,0.084,5.6000000000000005
0.004,0.02,5.0
0.021,0.114,5.428571428571429
0.003,0.014,4.666666666666667
0.034,0.158,4.647058823529411
0.015,0.088,5.866666666666666
0.037,0.163,4.405405405405406
0.047,0.205,4.361702127659574
0.056999999999999995,0.158,2.7719298245614037
0.011,0.053,4.818181818181818
0.013,0.102,7.846153846153846
0.018,0.071,3.944444444444444
0.005,0.02,4.0
0.025,0.102,4.079999999999999
0.007,0.034,4.857142857142858
0.003,0.015,5.0
0.024,0.107,4.458333333333333
0.007,0.036,5.142857142857142
0.002,0.018,9.0
0.017,0.053,3.117647058823529
0.028999999999999998,0.118,4.068965517241379
0.028999999999999998,0.069,2.3793103448275867
