Encrypt Time (ms),Inbuf Time (ms),Ratio
0.031,0.151,4.870967741935484
0.06,0.141,2.3499999999999996
0.08299999999999999,0.154,1.8554216867469882
0.005,0.023,4.6
0.034,0.097,2.8529411764705883
0.01,0.058,5.8
0.008,0.038,4.75
0.01,0.023,2.3
0.032,0.149,4.65625
0.056,0.157,2.8035714285714284
0.016,0.07,4.375
0.031,0.092,2.967741935483871
0.014,0.068,4.857142857142858
0.052000000000000005,0.11,2.1153846153846154
0.02,0.077,3.85
0.096,0.142,1.4791666666666665
0.08299999999999999,0.084,1.0120481927710845
0.019,0.046,2.4210526315789473
0.027,0.162,6.0
0.004,0.017,4.25
0.01,0.053,5.3
0.033,0.136,4.121212121212121
0.005,0.025,5.0
0.10600000000000001,0.207,1.952830188679245
0.049,0.152,3.1020408163265305
0.027,0.112,4.148148148148148
0.047,0.108,2.2978723404255317
0.015,0.061,4.066666666666666
0.012,0.043,3.583333333333333
0.003,0.012,4.0
0.004,0.025,6.25
0.104,0.131,1.2596153846153848
0.008,0.042,5.25
0.019,0.03,1.5789473684210527
0.003,0.014,4.666666666666667
0.021,0.086,4.095238095238095
0.032,0.119,3.7187499999999996
0.006,0.031,5.166666666666667
0.01,0.083,8.3
0.018,0.078,4.333333333333334
0.071,0.079,1.1126760563380282
0.009,0.045,5.0
0.004,0.02,5.0
0.007,0.057,8.142857142857142
0.003,0.014,4.666666666666667
0.094,0.228,2.425531914893617
0.051,0.11,2.1568627450980395
0.04,0.1,2.5
0.003,0.017,5.666666666666667
0.011,0.039,3.545454545454546
0.02,0.097,4.85
0.01,0.071,7.1
0.011,0.097,8.818181818181818
0.024,0.13,5.416666666666667
0.013,0.058,4.461538461538462
0.025,0.1,4.0
0.015,0.103,6.866666666666666
0.027,0.118,4.37037037037037
0.009,0.042,4.666666666666667
0.006,0.032,5.333333333333333
0.005,0.034,6.800000000000001
0.048,0.093,1.9375
0.091,0.131,1.4395604395604396
0.035,0.113,3.228571428571428
0.005,0.028,5.6
0.027,0.123,4.555555555555555
0.016,0.061,3.8125
0.021,0.108,5.142857142857142
0.008,0.039,4.875
0.015,0.106,7.066666666666666
0.026,0.079,3.0384615384615388
0.004,0.015,3.75
0.037,0.116,3.1351351351351355
0.019,0.123,6.473684210526316
0.032,0.155,4.84375
0.009,0.045,5.0
0.003,0.016,5.333333333333333
0.029,0.215,7.413793103448276
0.019,0.181,9.526315789473685
0.07,0.175,2.4999999999999996
0.023,0.146,6.3478260869565215
0.03,0.097,3.2333333333333334
0.14600000000000002,0.171,1.1712328767123288
0.04,0.12,3.0
0.009,0.044,4.888888888888889
0.032,0.126,3.9375
0.014,0.078,5.571428571428571
0.029,0.091,3.1379310344827585
0.005,0.019,3.8
0.037000000000000005,0.103,2.7837837837837833
0.026,0.104,4.0
0.015,0.074,4.933333333333334
0.022,0.187,8.5
0.031,0.119,3.8387096774193545
0.02,0.102,5.1
0.032,0.118,3.6874999999999996
0.086,0.216,2.511627906976744
0.031,0.131,4.225806451612903
0.012,0.101,8.416666666666668
0.029,0.1,3.4482758620689657
0.009,0.072,8.0
0.027,0.088,3.259259259259259
0.013,0.117,9.000000000000002
0.034,0.118,3.4705882352941173
0.006,0.035,5.833333333333334
0.022,0.106,4.818181818181818
0.016,0.105,6.5625
0.023,0.106,4.608695652173913
0.046,0.136,2.956521739130435
0.029,0.103,3.5517241379310343
0.013,0.092,7.0769230769230775
0.015,0.13,8.666666666666668
0.019,0.112,5.894736842105264
0.064,0.093,1.453125
0.011,0.094,8.545454545454547
0.048,0.118,2.458333333333333
0.014,0.106,7.571428571428571
0.023,0.112,4.869565217391305
0.008,0.048,6.0
0.028,0.099,3.5357142857142856
0.021,0.091,4.333333333333333
0.003,0.024,8.0
0.033,0.104,3.1515151515151514
0.012,0.113,9.416666666666666
0.046,0.119,2.5869565217391304
0.03,0.126,4.2
0.018,0.088,4.888888888888889
0.03,0.1,3.3333333333333335
0.024,0.129,5.375
0.048,0.163,3.3958333333333335
0.08399999999999999,0.114,1.3571428571428574
0.031,0.075,2.4193548387096775
0.039,0.124,3.1794871794871793
0.014,0.084,6.0
0.032,0.125,3.90625
0.037,0.089,2.4054054054054053
0.037,0.104,2.810810810810811
0.03,0.15,5.0
0.016,0.093,5.8125
0.045,0.119,2.6444444444444444
0.009,0.045,5.0
0.028,0.151,5.392857142857142
0.021,0.084,4.0
0.057999999999999996,0.192,3.3103448275862073
0.022,0.115,5.2272727272727275
0.019,0.14,7.36842105263158
0.019,0.119,6.263157894736842
0.017,0.093,5.470588235294117
0.009,0.041,4.555555555555556
0.007,0.039,5.571428571428571
0.028,0.098,3.5
0.026,0.106,4.076923076923077
0.019,0.1,5.2631578947368425
0.022,0.118,5.363636363636363
0.021,0.068,3.238095238095238
0.004,0.015,3.75
0.027,0.114,4.222222222222222
0.015,0.073,4.866666666666666
0.034,0.081,2.3823529411764706
0.027,0.08,2.9629629629629632
0.021,0.118,5.619047619047619
