Encrypt Time (ms),Inbuf Time (ms),Ratio
0.032,0.217,6.78125
0.017,0.061,3.5882352941176467
0.119,0.332,2.789915966386555
0.012,0.096,8.0
0.015,0.063,4.2
0.005,0.024,4.8
0.003,0.015,5.0
0.063,0.203,3.2222222222222223
0.044,0.084,1.9090909090909094
0.021,0.09,4.285714285714286
0.027999999999999997,0.065,2.3214285714285716
0.027,0.038,1.4074074074074074
0.02,0.042,2.1
0.017,0.058,3.411764705882353
0.037000000000000005,0.202,5.459459459459459
0.007,0.039,5.571428571428571
0.033,0.042,1.2727272727272727
0.003,0.011,3.6666666666666665
0.003,0.016,5.333333333333333
0.001,0.01,10.0
0.002,0.01,5.0
0.065,0.235,3.615384615384615
0.018,0.107,5.944444444444445
0.017,0.076,4.470588235294117
0.005,0.025,5.0
0.007,0.022,3.142857142857143
0.003,0.014,4.666666666666667
0.036000000000000004,0.137,3.8055555555555554
0.034,0.065,1.9117647058823528
0.009,0.03,3.3333333333333335
0.014,0.069,4.928571428571429
0.064,0.118,1.8437499999999998
0.011,0.064,5.818181818181818
0.003,0.017,5.666666666666667
0.031,0.171,5.516129032258065
0.017,0.149,8.76470588235294
0.013,0.076,5.846153846153847
0.006,0.028,4.666666666666667
0.022,0.179,8.136363636363637
0.045,0.078,1.7333333333333334
0.024,0.085,3.541666666666667
0.027,0.119,4.407407407407407
0.011,0.059,5.363636363636363
0.012,0.043,3.583333333333333
0.01,0.041,4.1
0.025,0.156,6.239999999999999
0.026,0.088,3.3846153846153846
0.009,0.04,4.444444444444445
0.023,0.176,7.652173913043478
0.013,0.069,5.307692307692308
0.01,0.031,3.1
0.01,0.036,3.5999999999999996
0.018,0.119,6.611111111111112
0.024,0.092,3.833333333333333
0.082,0.243,2.9634146341463414
0.012,0.039,3.25
0.031,0.122,3.935483870967742
0.01,0.048,4.8
0.028,0.102,3.6428571428571423
0.025,0.123,4.92
0.029,0.199,6.862068965517241
0.005,0.029,5.8
0.017,0.072,4.235294117647058
0.015,0.057,3.8000000000000003
0.041,0.357,8.707317073170731
0.021,0.076,3.6190476190476186
0.062,0.268,4.322580645161291
0.049,0.068,1.3877551020408163
0.01,0.053,5.3
0.01,0.058,5.8
0.011,0.044,4.0
0.046,0.129,2.8043478260869565
0.021,0.075,3.571428571428571
0.044,0.177,4.0227272727272725
0.027,0.136,5.037037037037037
0.060000000000000005,0.063,1.0499999999999998
0.011,0.04,3.6363636363636367
0.046,0.156,3.391304347826087
0.012,0.052,4.333333333333333
0.018,0.057,3.166666666666667
0.01,0.079,7.9
0.026,0.112,4.307692307692308
0.007,0.04,5.714285714285714
0.017,0.055,3.2352941176470584
0.013,0.072,5.538461538461538
0.016,0.097,6.0625
0.019,0.069,3.6315789473684212
0.079,0.303,3.8354430379746836
0.007,0.037,5.285714285714286
0.017,0.057,3.3529411764705883
0.008,0.03,3.75
0.024,0.111,4.625
0.016,0.054,3.375
0.014,0.075,5.357142857142857
0.052,0.084,1.6153846153846156
0.014,0.046,3.2857142857142856
0.032,0.11,3.4375
0.01,0.048,4.8
0.07300000000000001,0.107,1.465753424657534
0.028,0.135,4.821428571428572
0.007,0.031,4.428571428571429
0.028,0.063,2.25
0.004,0.025,6.25
0.006,0.04,6.666666666666667
0.03,0.194,6.466666666666667
0.032,0.113,3.53125
0.026,0.133,5.115384615384616
0.004,0.02,5.0
0.014,0.07,5.0
0.005,0.024,4.8
0.007,0.047,6.714285714285714
0.033,0.198,6.0
0.033,0.09,2.727272727272727
0.006,0.035,5.833333333333334
0.005,0.04,8.0
0.061,0.079,1.2950819672131149
0.019,0.064,3.368421052631579
0.006,0.035,5.833333333333334
0.005,0.03,6.0
0.034,0.085,2.5
0.042,0.082,1.9523809523809523
0.004,0.019,4.75
0.042,0.059,1.4047619047619047
0.015,0.059,3.933333333333333
0.004,0.036,9.0
0.003,0.019,6.333333333333333
0.074,0.086,1.162162162162162
0.078,0.088,1.1282051282051282
0.005,0.029,5.8
0.027000000000000003,0.101,3.7407407407407405
0.006,0.031,5.166666666666667
0.007,0.039,5.571428571428571
0.005,0.049,9.8
0.057,0.063,1.1052631578947367
0.007,0.061,8.714285714285714
0.008,0.056,7.0
0.01,0.059,5.8999999999999995
0.005,0.029,5.8
0.005,0.023,4.6
0.007,0.036,5.142857142857142
0.009000000000000001,0.039,4.333333333333333
0.004,0.026,6.5
0.09299999999999999,0.162,1.741935483870968
0.025,0.071,2.8399999999999994
0.026000000000000002,0.061,2.346153846153846
0.055,0.056,1.0181818181818183
0.025,0.038,1.5199999999999998
0.069,0.076,1.1014492753623186
0.008,0.042,5.25
0.024,0.047,1.9583333333333333
0.004,0.016,4.0
0.003,0.028,9.333333333333334
0.017,0.069,4.0588235294117645
0.025,0.094,3.76
0.005,0.025,5.0
0.003,0.013,4.333333333333333
0.003,0.013,4.333333333333333
0.014,0.046,3.2857142857142856
0.017,0.062,3.6470588235294117
0.016,0.054,3.375
0.02,0.07,3.5000000000000004
0.036000000000000004,0.044,1.222222222222222
0.021,0.075,3.571428571428571
0.013000000000000001,0.013,0.9999999999999999
0.012,0.018,1.4999999999999998
0.018000000000000002,0.051,2.833333333333333
0.004,0.018,4.5
0.027,0.122,4.518518518518518
0.015,0.054,3.6
0.055999999999999994,0.065,1.1607142857142858
0.002,0.011,5.5
0.003,0.026,8.666666666666666
0.003,0.02,6.666666666666667
0.005,0.027,5.3999999999999995
0.004,0.022,5.5
0.004,0.027,6.75
0.004,0.039,9.75
0.013,0.083,6.384615384615385
0.04,0.05,1.25
0.019,0.068,3.578947368421053
0.002,0.012,6.0
0.002,0.009,4.5
0.03899999999999999,0.087,2.230769230769231
0.008,0.038,4.75
0.02,0.04,2.0
0.003,0.019,6.333333333333333
0.003,0.017,5.666666666666667
0.03,0.203,6.7666666666666675
0.014,0.105,7.5
0.036000000000000004,0.085,2.361111111111111
0.009,0.075,8.333333333333334
0.016,0.058,3.625
0.006,0.021,3.5
0.003,0.016,5.333333333333333
0.035,0.071,2.028571428571428
0.004,0.019,4.75
0.005,0.024,4.8
0.059000000000000004,0.077,1.3050847457627117
0.025,0.072,2.8799999999999994
0.003,0.016,5.333333333333333
0.039,0.053,1.358974358974359
0.016,0.054,3.375
0.026,0.058,2.230769230769231
0.003,0.012,4.0
0.01,0.049,4.9
0.012,0.05,4.166666666666667
0.011,0.056,5.090909090909092
0.003,0.015,5.0
0.007,0.042,6.0
