Encrypt Time (ms),Inbuf Time (ms),Ratio
0.056999999999999995,0.171,3.0000000000000004
0.060000000000000005,0.245,4.083333333333333
0.091,0.235,2.582417582417582
0.009,0.042,4.666666666666667
0.009,0.046,5.111111111111112
0.005,0.024,4.8
0.004,0.038,9.5
0.002,0.008,4.0
0.03,0.116,3.866666666666667
0.03,0.057,1.9000000000000001
0.002,0.012,6.0
0.054000000000000006,0.071,1.3148148148148144
0.009,0.059,6.555555555555555
0.019,0.078,4.105263157894737
0.007,0.033,4.714285714285714
0.012,0.065,5.416666666666667
0.07800000000000001,0.109,1.3974358974358971
0.005,0.022,4.3999999999999995
0.014,0.072,5.142857142857142
0.004,0.016,4.0
0.048,0.084,1.75
0.016,0.056,3.5
0.003,0.014,4.666666666666667
0.004,0.015,3.75
0.002,0.01,5.0
0.002,0.007,3.5
0.019,0.084,4.421052631578948
0.005,0.044,8.799999999999999
0.016,0.067,4.1875
0.018,0.085,4.722222222222223
0.011,0.054,4.909090909090909
0.032,0.055,1.71875
0.002,0.014,7.0
0.044,0.077,1.75
0.09400000000000001,0.135,1.4361702127659572
0.024,0.07,2.916666666666667
0.004,0.021,5.25
0.004,0.017,4.25
0.025,0.128,5.12
0.01,0.058,5.8
0.052,0.112,2.153846153846154
0.037,0.152,4.108108108108108
0.014,0.111,7.928571428571429
0.016,0.122,7.625
0.006,0.026,4.333333333333333
0.018,0.177,9.833333333333334
0.06,0.094,1.5666666666666667
0.015,0.047,3.1333333333333333
0.002,0.01,5.0
0.007,0.012,1.7142857142857142
0.02,0.098,4.9
0.011,0.056,5.090909090909092
0.004,0.016,4.0
0.015,0.074,4.933333333333334
0.004,0.019,4.75
0.013,0.101,7.76923076923077
0.046,0.171,3.7173913043478266
0.032,0.126,3.9375
0.007,0.036,5.142857142857142
0.006,0.036,5.999999999999999
0.004,0.021,5.25
0.035,0.083,2.3714285714285714
0.014,0.071,5.071428571428571
0.027000000000000003,0.044,1.6296296296296293
0.003,0.023,7.666666666666666
0.003,0.017,5.666666666666667
0.02,0.083,4.15
0.01,0.053,5.3
0.012,0.047,3.9166666666666665
0.004,0.022,5.5
0.015,0.058,3.866666666666667
0.021,0.091,4.333333333333333
0.006,0.031,5.166666666666667
0.014,0.076,5.428571428571428
0.007,0.039,5.571428571428571
0.013,0.051,3.923076923076923
0.034,0.091,2.676470588235294
0.007,0.035,5.0
0.022,0.106,4.818181818181818
0.014,0.067,4.785714285714286
0.021,0.114,5.428571428571429
0.034,0.102,2.9999999999999996
0.041,0.137,3.3414634146341466
0.036,0.102,2.8333333333333335
0.016,0.068,4.25
0.006,0.032,5.333333333333333
0.015,0.063,4.2
0.003,0.016,5.333333333333333
0.023,0.087,3.782608695652174
0.004,0.019,4.75
0.021,0.104,4.952380952380952
0.017,0.098,5.764705882352941
0.011,0.102,9.272727272727273
0.033,0.18,5.454545454545454
0.012,0.057,4.75
0.021,0.098,4.666666666666667
0.019,0.097,5.105263157894737
0.056999999999999995,0.108,1.8947368421052633
0.031,0.154,4.967741935483871
0.037000000000000005,0.069,1.8648648648648647
0.040999999999999995,0.06,1.4634146341463417
0.017,0.067,3.941176470588235
0.01,0.036,3.5999999999999996
0.013,0.049,3.7692307692307696
0.017,0.068,4.0
0.021,0.193,9.19047619047619
0.017,0.07,4.11764705882353
0.007,0.029,4.142857142857143
0.018,0.071,3.944444444444444
0.006,0.027,4.5
0.003,0.016,5.333333333333333
0.017,0.101,5.9411764705882355
0.024,0.037,1.5416666666666665
0.004,0.018,4.5
0.061,0.2,3.278688524590164
0.033,0.071,2.1515151515151514
0.045,0.134,2.977777777777778
0.076,0.181,2.3815789473684212
0.019,0.111,5.842105263157895
0.009,0.045,5.0
0.012,0.054,4.5
0.004,0.019,4.75
0.016,0.06,3.75
0.016,0.063,3.9375
0.003,0.014,4.666666666666667
0.015,0.07,4.666666666666667
0.012,0.071,5.916666666666666
0.009,0.033,3.666666666666667
0.013,0.049,3.7692307692307696
0.022,0.048,2.181818181818182
0.03,0.219,7.300000000000001
0.014,0.065,4.642857142857143
0.027,0.097,3.5925925925925926
0.025,0.054,2.1599999999999997
0.035,0.117,3.3428571428571425
0.007,0.034,4.857142857142858
0.017,0.062,3.6470588235294117
0.004,0.021,5.25
0.014,0.049,3.5
0.02,0.067,3.35
